ID,DATE,TMAX,TMIN,EVAP,PRCP,Latitude,Longitude,Elevation,Region
US1FLDV0028,2016-07-31,,,,91.0,30.3157,-81.5985,4.9,Jacksonville
USC00154955,2016-03-13,244.0,106.0,,127.0,38.2778,-85.7917,134.1,Louisville
US1NYKN0025,2018-11-24,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1CALA0064,2017-03-14,,,,0.0,34.0809,-118.2729,123.4,LosAngeles
USC00197627,2015-11-28,,,,0.0,42.0583,-72.0722,208.8,Northeast
US1KSBU0024,2018-01-20,,,,0.0,37.9856,-97.0347,406.3,Plains
US1KSBU0024,2018-11-29,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2017-07-07,,,,0.0,36.1387,-115.1874,655.0,LasVegas
USC00141673,2015-02-07,139.0,-28.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00363698,2015-12-11,100.0,17.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USC00291469,2017-12-01,189.0,50.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00291469,2017-01-21,161.0,61.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00356749,2017-09-24,222.0,100.0,,0.0,45.5181,-122.6894,48.5,Portland
USC00278961,2017-07-12,239.0,133.0,,0.0,43.9458,-71.5111,435.6,NorthernNewEngland
USC00154955,2017-10-10,250.0,183.0,,0.0,38.2778,-85.7917,134.1,Louisville
US1MASF0001,2018-09-20,,,,0.0,42.357,-71.0671,13.1,Boston
US1CASD0140,2017-12-03,,,,0.0,32.7221,-117.1327,67.1,SanDiego
US1FLMD0023,2015-05-02,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1NYKN0025,2015-01-17,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1CASD0140,2017-06-01,,,,0.0,32.7221,-117.1327,67.1,SanDiego
US1CASD0140,2017-09-01,,,,0.0,32.7221,-117.1327,67.1,SanDiego
USC00291469,2018-02-24,,,,,32.3478,-104.2225,951.0,WestTexNewMexico
US1NVDG0017,2018-01-29,,,,,38.9831,-119.9539,1896.2,West
USC00386775,2017-11-25,,,,,33.7717,-81.2581,137.5,SouthCarolina
USC00386775,2017-09-12,,,,,33.7717,-81.2581,137.5,SouthCarolina
USC00197627,2017-12-09,,,,0.0,42.0583,-72.0722,208.8,Northeast
USC00347003,2015-07-28,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
USC00347003,2016-09-16,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1KSBU0024,2018-10-28,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2017-02-06,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1IDAD0009,2018-02-07,,,,0.0,43.6323,-116.2045,827.8,Boise
US1ILCK0036,2017-12-17,,,,0.0,41.886,-87.621,191.1,Chicago
US1ILCK0036,2018-07-04,,,,0.0,41.886,-87.621,191.1,Chicago
USC00197627,2015-11-10,,,,0.0,42.0583,-72.0722,208.8,Northeast
USC00347003,2018-03-07,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1IDAD0009,2017-04-28,,,,0.0,43.6323,-116.2045,827.8,Boise
US1NYKN0025,2018-09-15,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1FLMD0023,2016-11-20,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1FLDV0028,2015-03-15,,,,0.0,30.3157,-81.5985,4.9,Jacksonville
US1TXHRR165,2017-05-05,,,,0.0,29.7858,-95.3735,14.3,Houston
USC00386775,2018-06-03,,,,0.0,33.7717,-81.2581,137.5,SouthCarolina
USC00141673,2016-01-11,-33.0,-139.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00278961,2018-03-01,128.0,-17.0,,0.0,43.9458,-71.5111,435.6,NorthernNewEngland
USC00356749,2018-03-03,94.0,22.0,,0.0,45.5181,-122.6894,48.5,Portland
USC00237452,2017-03-05,228.0,100.0,,0.0,38.6308,-90.2708,157.0,StLouis
US1TXHRR165,2015-07-28,,,,0.0,29.7858,-95.3735,14.3,Houston
US1NVDG0017,2018-02-09,,,,0.0,38.9831,-119.9539,1896.2,West
USC00363698,2015-04-13,189.0,6.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USC00363698,2016-10-29,122.0,11.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USW00023272,2016-12-03,172.0,89.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00291469,2016-04-17,239.0,89.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00291469,2018-10-27,239.0,100.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USW00023272,2018-02-03,233.0,122.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USW00023272,2015-08-23,206.0,161.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
US1FLDV0028,2018-04-25,,,,0.0,30.3157,-81.5985,4.9,Jacksonville
US1FLDV0028,2018-12-27,,,,0.0,30.3157,-81.5985,4.9,Jacksonville
US1TXHRR165,2015-12-18,,,,0.0,29.7858,-95.3735,14.3,Houston
US1CALA0064,2018-06-16,,,,0.0,34.0809,-118.2729,123.4,LosAngeles
US1CASD0140,2018-07-25,,,,0.0,32.7221,-117.1327,67.1,SanDiego
US1CALA0064,2018-02-22,,,,0.0,34.0809,-118.2729,123.4,LosAngeles
US1WAKG0204,2015-03-02,,,,0.0,47.6091,-122.344,6.1,Seattle
US1CTHR0050,2017-05-10,,,,0.0,41.7435,-72.6814,26.2,HartfordSpringfield
US1CALA0064,2018-12-30,,,,0.0,34.0809,-118.2729,123.4,LosAngeles
US1ALMB0076,2018-09-08,,,,0.0,30.6865,-88.0674,9.8,NewOrleansMobile
US1CTHR0050,2017-07-19,,,,0.0,41.7435,-72.6814,26.2,HartfordSpringfield
US1ILCK0036,2015-07-10,,,,0.0,41.886,-87.621,191.1,Chicago
US1TNDV0047,2015-11-08,,,,0.0,36.126,-86.7954,193.9,Nashville
USC00197627,2015-06-06,,,,0.0,42.0583,-72.0722,208.8,Northeast
US1KSBU0024,2018-11-17,,,,0.0,37.9856,-97.0347,406.3,Plains
US1TXDA0053,2015-10-17,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
US1TXDA0053,2018-10-21,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
US1KYKN0001,2017-04-20,,,,0.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1NYER0093,2017-07-15,,,,0.0,42.889,-78.8901,178.0,BuffaloRochester
US1TNDV0047,2018-06-07,,,,0.0,36.126,-86.7954,193.9,Nashville
US1AZMR0410,2016-05-16,,,,0.0,33.4761,-112.0797,333.5,PhoenixTucson
US1KSBU0024,2015-05-22,,,,0.0,37.9856,-97.0347,406.3,Plains
US1KSBU0024,2015-11-01,,,,0.0,37.9856,-97.0347,406.3,Plains
US1TXDA0053,2015-05-01,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
US1TXDA0053,2016-10-15,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
US1TNDV0047,2017-02-06,,,,0.0,36.126,-86.7954,193.9,Nashville
US1TNDV0047,2017-11-28,,,,0.0,36.126,-86.7954,193.9,Nashville
USC00347003,2015-11-11,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1AZMR0410,2017-06-27,,,,0.0,33.4761,-112.0797,333.5,PhoenixTucson
US1NVCK0050,2016-02-22,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1NVCK0050,2016-03-02,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1IDAD0009,2015-10-27,,,,0.0,43.6323,-116.2045,827.8,Boise
US1ILCK0036,2017-11-29,,,,0.0,41.886,-87.621,191.1,Chicago
US1TNDV0047,2015-02-10,,,,0.0,36.126,-86.7954,193.9,Nashville
US1MIKN0032,2018-08-13,,,,0.0,42.9919,-85.6944,194.2,GrandRapids
USC00197627,2015-04-29,,,,0.0,42.0583,-72.0722,208.8,Northeast
USC00347003,2018-09-17,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1KSBU0024,2017-05-10,,,,0.0,37.9856,-97.0347,406.3,Plains
US1IDAD0009,2017-07-13,,,,0.0,43.6323,-116.2045,827.8,Boise
US1TXDA0053,2018-03-09,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
USC00197627,2017-10-11,,,,0.0,42.0583,-72.0722,208.8,Northeast
US1PAAL0070,2018-12-23,,,,0.0,40.4623,-79.9658,242.0,Pittsburgh
US1KSBU0024,2016-01-20,,,,0.0,37.9856,-97.0347,406.3,Plains
US1IDAD0009,2016-05-18,,,,0.0,43.6323,-116.2045,827.8,Boise
US1IDAD0009,2017-03-03,,,,0.0,43.6323,-116.2045,827.8,Boise
US1ILCK0036,2016-02-06,,,,0.0,41.886,-87.621,191.1,Chicago
USC00197627,2016-09-16,,,,0.0,42.0583,-72.0722,208.8,Northeast
US1KSBU0024,2015-05-31,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2016-09-06,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1IDAD0009,2018-03-29,,,,0.0,43.6323,-116.2045,827.8,Boise
US1KYKN0001,2016-08-22,,,,0.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1ILCK0036,2016-12-02,,,,0.0,41.886,-87.621,191.1,Chicago
US1OHFR0048,2016-11-25,,,,0.0,39.9946,-83.0131,232.3,Columbus
US1NVCK0050,2015-09-08,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1NVCK0050,2016-07-17,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1IDAD0009,2015-02-12,,,,0.0,43.6323,-116.2045,827.8,Boise
US1ILCK0036,2017-09-09,,,,0.0,41.886,-87.621,191.1,Chicago
US1TNDV0047,2015-07-19,,,,0.0,36.126,-86.7954,193.9,Nashville
USC00347003,2015-12-24,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
USC00347003,2016-08-24,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1GAFT0046,2016-10-18,,,,0.0,33.7447,-84.373,317.0,Atlanta
USC00278961,2018-12-14,-39.0,-228.0,,0.0,43.9458,-71.5111,435.6,NorthernNewEngland
USC00363698,2015-06-07,228.0,100.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1NVDG0017,2017-04-21,,,,0.0,38.9831,-119.9539,1896.2,West
USC00291469,2018-03-06,183.0,22.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00356749,2018-02-09,94.0,61.0,,0.0,45.5181,-122.6894,48.5,Portland
USC00308386,2015-11-03,161.0,72.0,,0.0,43.0344,-76.1344,173.4,Syracuse
USW00023272,2015-04-12,217.0,111.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00386775,2017-05-26,244.0,122.0,,0.0,33.7717,-81.2581,137.5,SouthCarolina
USC00363698,2017-08-09,250.0,139.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1NVDG0017,2016-11-17,,,,0.0,38.9831,-119.9539,1896.2,West
USC00097777,2018-01-18,67.0,-83.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00366886,2018-12-11,67.0,0.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USW00093784,2015-11-25,122.0,44.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00237452,2018-02-09,122.0,56.0,,0.0,38.6308,-90.2708,157.0,StLouis
USW00093784,2016-11-10,156.0,72.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00366886,2017-06-05,272.0,150.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00363698,2016-11-15,133.0,-33.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USW00093784,2017-11-24,117.0,17.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00291469,2016-12-22,156.0,28.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USW00093784,2017-12-19,161.0,78.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00291469,2017-11-16,228.0,89.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00097777,2016-12-26,156.0,128.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00154955,2017-02-04,11.0,-44.0,,0.0,38.2778,-85.7917,134.1,Louisville
USC00141673,2016-12-28,122.0,-44.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00363698,2017-11-09,56.0,-6.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USC00141673,2017-12-05,244.0,0.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00141673,2016-03-11,183.0,50.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USW00023272,2017-07-06,194.0,117.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00291469,2017-04-15,283.0,133.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00291469,2015-12-16,106.0,-39.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00154955,2015-04-28,200.0,50.0,,0.0,38.2778,-85.7917,134.1,Louisville
USC00278961,2018-07-14,250.0,94.0,,0.0,43.9458,-71.5111,435.6,NorthernNewEngland
USW00023272,2016-10-09,233.0,122.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00366886,2017-02-20,217.0,128.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USW00093784,2018-01-06,-71.0,-121.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00308386,2015-12-07,72.0,-22.0,,0.0,43.0344,-76.1344,173.4,Syracuse
USC00097777,2018-02-25,289.0,117.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00097777,2017-08-11,306.0,228.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00097777,2017-06-07,272.0,217.0,,23.0,32.9744,-82.8045,137.5,Southeast
US1NYKN0025,2018-04-29,,,,53.0,40.6846,-73.9867,5.5,NewYork
US1FLMD0023,2018-06-16,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1FLDV0028,2015-12-27,,,,0.0,30.3157,-81.5985,4.9,Jacksonville
US1TXHRR165,2015-10-05,,,,0.0,29.7858,-95.3735,14.3,Houston
USC00237452,2018-11-17,,,,0.0,38.6308,-90.2708,157.0,StLouis
US1TNDV0047,2018-07-08,,,,0.0,36.126,-86.7954,193.9,Nashville
US1MIKN0032,2016-07-10,,,,0.0,42.9919,-85.6944,194.2,GrandRapids
USC00347003,2018-10-16,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1AZMR0410,2015-04-06,,,,0.0,33.4761,-112.0797,333.5,PhoenixTucson
US1AZMR0410,2015-12-28,,,,0.0,33.4761,-112.0797,333.5,PhoenixTucson
US1AZMR0410,2017-12-25,,,,0.0,33.4761,-112.0797,333.5,PhoenixTucson
US1PAAL0070,2018-12-29,,,,3.0,40.4623,-79.9658,242.0,Pittsburgh
US1MIMY0003,2017-05-27,,,,3.0,45.0158,-84.0224,267.0,GreatLakes
USC00356749,2017-04-04,144.0,67.0,,3.0,45.5181,-122.6894,48.5,Portland
US1MIKN0032,2015-06-26,,,,5.0,42.9919,-85.6944,194.2,GrandRapids
USC00197627,2017-02-09,,,,5.0,42.0583,-72.0722,208.8,Northeast
US1KYKN0001,2016-06-27,,,,15.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1GAFT0046,2017-06-20,,,,36.0,33.7447,-84.373,317.0,Atlanta
USC00237452,2015-11-12,194.0,78.0,,79.0,38.6308,-90.2708,157.0,StLouis
USC00356749,2016-11-26,122.0,56.0,,112.0,45.5181,-122.6894,48.5,Portland
USW00093784,2018-09-08,244.0,167.0,,145.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00141673,2015-12-27,133.0,17.0,,632.0,37.0614,-95.6356,224.6,TotalUS
USC00097777,2015-10-19,178.0,39.0,,0.0,32.9744,-82.8045,137.5,Southeast
USW00023272,2017-03-23,150.0,94.0,,0.0,37.7706,-122.4269,45.7,SanFrancisco
USC00197627,2016-01-10,,,,10.0,42.0583,-72.0722,208.8,Northeast
US1MIKN0032,2015-12-27,,,,33.0,42.9919,-85.6944,194.2,GrandRapids
US1TNDV0047,2016-03-28,,,,51.0,36.126,-86.7954,193.9,Nashville
US1TNDV0047,2015-11-06,,,,112.0,36.126,-86.7954,193.9,Nashville
US1KYKN0001,2015-12-28,,,,323.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1NYKN0025,2018-08-14,,,,,40.6846,-73.9867,5.5,NewYork
USC00363698,2018-06-02,300.0,200.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1ILCK0036,2017-11-03,,,,5.0,41.886,-87.621,191.1,Chicago
USC00386775,2018-08-17,333.0,222.0,,5.0,33.7717,-81.2581,137.5,SouthCarolina
US1IDAD0009,2017-05-07,,,,25.0,43.6323,-116.2045,827.8,Boise
US1ALMB0076,2018-09-24,,,,28.0,30.6865,-88.0674,9.8,NewOrleansMobile
USW00023272,2016-10-27,183.0,150.0,,130.0,37.7706,-122.4269,45.7,SanFrancisco
USC00097777,2015-11-08,250.0,106.0,,147.0,32.9744,-82.8045,137.5,Southeast
USW00023272,2017-01-08,172.0,128.0,,371.0,37.7706,-122.4269,45.7,SanFrancisco
US1FLMD0023,2018-01-31,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1TXHRR165,2016-11-02,,,,0.0,29.7858,-95.3735,14.3,Houston
US1TXHRR165,2018-07-30,,,,0.0,29.7858,-95.3735,14.3,Houston
US1CASD0140,2016-10-13,,,,0.0,32.7221,-117.1327,67.1,SanDiego
USC00141673,2015-02-22,139.0,-17.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USW00093784,2015-12-20,83.0,-5.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
USC00141673,2017-04-12,244.0,44.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00291469,2018-11-05,178.0,56.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00097777,2015-09-03,317.0,206.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00363698,2015-07-30,322.0,206.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USC00141673,2015-07-06,333.0,228.0,,0.0,37.0614,-95.6356,224.6,TotalUS
US1FLMD0023,2015-04-19,,,,0.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
US1KYKN0001,2017-02-02,,,,0.0,39.0771,-84.5247,164.9,CincinnatiDayton
US1KSBU0024,2015-09-06,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NYKN0025,2016-02-03,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1NYKN0025,2017-11-10,,,,0.0,40.6846,-73.9867,5.5,NewYork
US1CALA0064,2018-07-28,,,,0.0,34.0809,-118.2729,123.4,LosAngeles
US1TXDA0053,2015-08-31,,,,0.0,32.8152,-96.8035,150.0,DallasFtWorth
US1MIWY0038,2018-04-21,,,,0.0,42.32,-83.09,180.1,Detroit
US1ILCK0036,2016-06-25,,,,0.0,41.886,-87.621,191.1,Chicago
USC00347003,2016-05-26,,,,0.0,35.9742,-97.0269,271.9,SouthCentral
US1GAFT0046,2017-08-25,,,,0.0,33.7447,-84.373,317.0,Atlanta
US1KSBU0024,2018-03-16,,,,0.0,37.9856,-97.0347,406.3,Plains
US1NVCK0050,2015-07-22,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1NVCK0050,2017-06-14,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1NVCK0050,2017-09-07,,,,0.0,36.1387,-115.1874,655.0,LasVegas
US1IDAD0009,2015-12-03,,,,0.0,43.6323,-116.2045,827.8,Boise
USC00366886,2016-09-13,289.0,178.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00237452,2015-09-08,322.0,239.0,,0.0,38.6308,-90.2708,157.0,StLouis
USC00141673,2018-06-26,283.0,161.0,,51.0,37.0614,-95.6356,224.6,TotalUS
US1MASF0001,2018-08-23,,,,99.0,42.357,-71.0671,13.1,Boston
US1NVDG0017,2016-10-28,,,,173.0,38.9831,-119.9539,1896.2,West
USC00386775,2018-08-26,339.0,189.0,,0.0,33.7717,-81.2581,137.5,SouthCarolina
USW00093784,2015-07-24,294.0,211.0,,0.0,39.2814,-76.6111,6.1,BaltimoreWashington
US1MIWY0038,2018-11-03,,,,8.0,42.32,-83.09,180.1,Detroit
US1FLOR0028,2016-04-07,,,,15.0,28.5443,-81.357,30.2,Orlando
US1CODN0235,2016-04-19,,,,15.0,39.733,-104.9857,1608.1,Denver
US1OHFR0048,2016-10-19,,,,18.0,39.9946,-83.0131,232.3,Columbus
US1KSBU0024,2018-06-23,,,,160.0,37.9856,-97.0347,406.3,Plains
US1FLDV0028,2017-09-10,,,,284.0,30.3157,-81.5985,4.9,Jacksonville
US1MASF0001,2016-01-07,,,,,42.357,-71.0671,13.1,Boston
USC00366886,2018-11-15,67.0,0.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00097777,2017-12-20,239.0,89.0,,0.0,32.9744,-82.8045,137.5,Southeast
USC00141673,2016-05-11,300.0,117.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00237452,2015-07-05,278.0,194.0,,0.0,38.6308,-90.2708,157.0,StLouis
USC00363698,2018-06-30,311.0,200.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1ALMB0076,2018-01-17,,,,15.0,30.6865,-88.0674,9.8,NewOrleansMobile
US1MASF0001,2017-03-10,,,,20.0,42.357,-71.0671,13.1,Boston
US1INMR0134,2015-06-13,,,,28.0,39.7574,-86.1404,223.4,Indianapolis
US1FLOR0028,2018-04-08,,,,53.0,28.5443,-81.357,30.2,Orlando
US1KSBU0024,2016-09-25,,,,401.0,37.9856,-97.0347,406.3,Plains
USC00141673,2016-07-20,344.0,244.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00363698,2017-07-11,294.0,167.0,,3.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1FLMD0023,2017-10-12,,,,43.0,25.7349,-80.1636,1.2,MiamiFtLauderdale
USC00141673,2017-05-19,300.0,161.0,,175.0,37.0614,-95.6356,224.6,TotalUS
USC00154955,2015-03-28,117.0,-50.0,,0.0,38.2778,-85.7917,134.1,Louisville
USC00141673,2018-03-14,133.0,-33.0,,0.0,37.0614,-95.6356,224.6,TotalUS
USC00291469,2015-11-29,22.0,-6.0,,0.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00366886,2015-12-19,89.0,11.0,,0.0,39.9586,-75.1728,18.3,Philadelphia
USC00363698,2017-09-11,200.0,89.0,,0.0,40.2817,-76.8706,128.0,HarrisburgScranton
USC00141673,2016-09-02,283.0,161.0,,0.0,37.0614,-95.6356,224.6,TotalUS
US1MIKN0032,2017-01-30,,,,10.0,42.9919,-85.6944,194.2,GrandRapids
US1NYKN0025,2017-10-29,,,,20.0,40.6846,-73.9867,5.5,NewYork
USC00363698,2016-11-29,94.0,-39.0,,41.0,40.2817,-76.8706,128.0,HarrisburgScranton
US1ILCK0036,2016-09-22,,,,56.0,41.886,-87.621,191.1,Chicago
USC00356749,2016-10-02,139.0,106.0,,84.0,45.5181,-122.6894,48.5,Portland
USC00347003,2018-05-20,,,,114.0,35.9742,-97.0269,271.9,SouthCentral
US1NYER0093,2018-08-22,,,,130.0,42.889,-78.8901,178.0,BuffaloRochester
US1FLDV0028,2015-03-27,,,,226.0,30.3157,-81.5985,4.9,Jacksonville
USC00154955,2016-11-29,106.0,-17.0,,241.0,38.2778,-85.7917,134.1,Louisville
USC00386775,2017-11-26,,,,,33.7717,-81.2581,137.5,SouthCarolina
USC00141673,2015-09-01,322.0,194.0,,0.0,37.0614,-95.6356,224.6,TotalUS
US1TXHRR165,2018-03-10,,,,8.0,29.7858,-95.3735,14.3,Houston
US1AZMR0410,2018-08-21,,,,8.0,33.4761,-112.0797,333.5,PhoenixTucson
USC00291469,2016-09-26,222.0,156.0,,10.0,32.3478,-104.2225,951.0,WestTexNewMexico
USC00154955,2015-01-03,33.0,-50.0,,20.0,38.2778,-85.7917,134.1,Louisville
